SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43671 child=39971 window=2016 surface=148740311
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=pool
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204111-surface-ca-pool-94f68ad825/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=68 allocation_ms=0.002 memcpy_ms=2.306 image_ms=0.012 transaction_ms=0.085 render_ms=14.451 flush_ms=3.745 total_ms=20.618
SURFACE FRAME id=69 allocation_ms=0.003 memcpy_ms=2.215 image_ms=0.011 transaction_ms=0.079 render_ms=15.094 flush_ms=3.728 total_ms=21.156
SURFACE FRAME id=70 allocation_ms=0.003 memcpy_ms=2.344 image_ms=0.012 transaction_ms=0.078 render_ms=14.614 flush_ms=3.814 total_ms=20.888
SURFACE FRAME id=71 allocation_ms=0.003 memcpy_ms=2.368 image_ms=0.012 transaction_ms=0.077 render_ms=14.823 flush_ms=3.914 total_ms=21.227
SURFACE FRAME id=72 allocation_ms=0.003 memcpy_ms=2.351 image_ms=0.013 transaction_ms=0.078 render_ms=14.563 flush_ms=3.770 total_ms=20.810
SURFACE FRAME id=73 allocation_ms=0.003 memcpy_ms=2.269 image_ms=0.012 transaction_ms=0.076 render_ms=14.251 flush_ms=3.768 total_ms=20.399
SURFACE FRAME id=74 allocation_ms=0.003 memcpy_ms=2.532 image_ms=0.012 transaction_ms=0.075 render_ms=14.598 flush_ms=3.747 total_ms=20.989
SURFACE FRAME id=75 allocation_ms=0.002 memcpy_ms=2.447 image_ms=0.012 transaction_ms=0.076 render_ms=14.544 flush_ms=3.757 total_ms=20.860
SURFACE FRAME id=76 allocation_ms=0.002 memcpy_ms=2.172 image_ms=0.012 transaction_ms=0.081 render_ms=14.373 flush_ms=3.871 total_ms=20.531
SURFACE FRAME id=77 allocation_ms=0.003 memcpy_ms=2.238 image_ms=0.013 transaction_ms=0.208 render_ms=14.348 flush_ms=3.928 total_ms=20.758
SURFACE FRAME id=78 allocation_ms=0.003 memcpy_ms=2.288 image_ms=0.013 transaction_ms=0.080 render_ms=14.426 flush_ms=3.714 total_ms=20.545
SURFACE FRAME id=79 allocation_ms=0.003 memcpy_ms=2.218 image_ms=0.011 transaction_ms=0.075 render_ms=14.849 flush_ms=3.827 total_ms=21.005
SURFACE FRAME id=80 allocation_ms=0.002 memcpy_ms=2.141 image_ms=0.011 transaction_ms=0.078 render_ms=14.548 flush_ms=3.682 total_ms=20.484
SURFACE FRAME id=81 allocation_ms=0.003 memcpy_ms=2.178 image_ms=0.012 transaction_ms=0.211 render_ms=14.386 flush_ms=3.745 total_ms=20.555
SURFACE FRAME id=82 allocation_ms=0.001 memcpy_ms=2.098 image_ms=0.011 transaction_ms=0.078 render_ms=14.348 flush_ms=3.698 total_ms=20.255
SURFACE FRAME id=83 allocation_ms=0.003 memcpy_ms=2.208 image_ms=0.011 transaction_ms=0.079 render_ms=14.293 flush_ms=3.748 total_ms=20.363
SURFACE FRAME id=84 allocation_ms=0.001 memcpy_ms=2.268 image_ms=0.010 transaction_ms=0.076 render_ms=14.142 flush_ms=6.148 total_ms=22.663
SURFACE FRAME id=85 allocation_ms=0.003 memcpy_ms=2.102 image_ms=0.012 transaction_ms=0.079 render_ms=14.370 flush_ms=3.723 total_ms=20.309
SURFACE FRAME id=86 allocation_ms=0.003 memcpy_ms=2.117 image_ms=0.012 transaction_ms=0.078 render_ms=14.622 flush_ms=3.697 total_ms=20.550
SURFACE FRAME id=87 allocation_ms=0.002 memcpy_ms=2.211 image_ms=0.012 transaction_ms=0.077 render_ms=14.532 flush_ms=3.780 total_ms=20.635
SURFACE FRAME id=88 allocation_ms=0.002 memcpy_ms=2.130 image_ms=0.012 transaction_ms=0.077 render_ms=14.608 flush_ms=3.785 total_ms=20.633
SURFACE FRAME id=89 allocation_ms=0.003 memcpy_ms=2.211 image_ms=0.013 transaction_ms=0.083 render_ms=13.696 flush_ms=3.856 total_ms=19.883
SURFACE FRAME id=90 allocation_ms=0.003 memcpy_ms=2.208 image_ms=0.012 transaction_ms=0.079 render_ms=14.758 flush_ms=3.751 total_ms=20.833
SURFACE FRAME id=91 allocation_ms=0.003 memcpy_ms=2.170 image_ms=0.011 transaction_ms=0.077 render_ms=13.941 flush_ms=3.709 total_ms=19.931
SURFACE FRAME id=92 allocation_ms=0.002 memcpy_ms=2.032 image_ms=0.012 transaction_ms=0.078 render_ms=14.573 flush_ms=3.793 total_ms=20.508
SURFACE FRAME id=93 allocation_ms=0.003 memcpy_ms=2.244 image_ms=0.012 transaction_ms=0.091 render_ms=13.415 flush_ms=3.705 total_ms=19.490
SURFACE FRAME id=94 allocation_ms=0.003 memcpy_ms=2.204 image_ms=0.013 transaction_ms=0.087 render_ms=13.524 flush_ms=3.755 total_ms=19.607
SURFACE FRAME id=95 allocation_ms=0.003 memcpy_ms=2.192 image_ms=0.010 transaction_ms=0.076 render_ms=13.759 flush_ms=3.752 total_ms=19.813
SURFACE FRAME id=96 allocation_ms=0.003 memcpy_ms=2.105 image_ms=0.012 transaction_ms=0.079 render_ms=14.978 flush_ms=3.783 total_ms=20.980
SURFACE FRAME id=97 allocation_ms=0.003 memcpy_ms=2.214 image_ms=0.012 transaction_ms=0.079 render_ms=15.284 flush_ms=3.877 total_ms=21.490
SURFACE FRAME id=98 allocation_ms=0.001 memcpy_ms=2.230 image_ms=0.010 transaction_ms=0.074 render_ms=16.495 flush_ms=4.065 total_ms=22.889
SURFACE FRAME id=99 allocation_ms=0.001 memcpy_ms=2.565 image_ms=0.010 transaction_ms=0.077 render_ms=14.812 flush_ms=3.816 total_ms=21.297
SURFACE FRAME id=100 allocation_ms=0.003 memcpy_ms=2.220 image_ms=0.013 transaction_ms=0.080 render_ms=14.814 flush_ms=3.801 total_ms=20.952
SURFACE FRAME id=101 allocation_ms=0.002 memcpy_ms=2.232 image_ms=0.013 transaction_ms=0.078 render_ms=14.558 flush_ms=3.843 total_ms=20.747
SURFACE FRAME id=102 allocation_ms=0.003 memcpy_ms=2.211 image_ms=0.013 transaction_ms=0.079 render_ms=14.515 flush_ms=3.795 total_ms=20.636
SURFACE FRAME id=103 allocation_ms=0.003 memcpy_ms=2.379 image_ms=0.012 transaction_ms=0.080 render_ms=14.320 flush_ms=3.757 total_ms=20.571
SURFACE FRAME id=104 allocation_ms=0.001 memcpy_ms=2.143 image_ms=0.011 transaction_ms=0.087 render_ms=14.069 flush_ms=3.824 total_ms=20.157
SURFACE FRAME id=105 allocation_ms=0.001 memcpy_ms=2.061 image_ms=0.012 transaction_ms=0.077 render_ms=14.449 flush_ms=3.820 total_ms=20.437
SURFACE FRAME id=106 allocation_ms=0.002 memcpy_ms=2.270 image_ms=0.013 transaction_ms=0.080 render_ms=14.367 flush_ms=3.891 total_ms=20.645
SURFACE FRAME id=107 allocation_ms=0.002 memcpy_ms=2.278 image_ms=0.010 transaction_ms=0.076 render_ms=14.546 flush_ms=3.775 total_ms=20.708
