SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43667 child=39967 window=2015 surface=147787958
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=malloc
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204030-surface-ca-malloc-dc42a1c31b/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=82 allocation_ms=0.021 memcpy_ms=11.161 image_ms=0.013 transaction_ms=0.080 render_ms=14.458 flush_ms=3.756 total_ms=29.504
SURFACE FRAME id=83 allocation_ms=0.022 memcpy_ms=11.214 image_ms=0.014 transaction_ms=0.079 render_ms=14.811 flush_ms=3.726 total_ms=29.879
SURFACE FRAME id=84 allocation_ms=0.022 memcpy_ms=11.078 image_ms=0.014 transaction_ms=0.079 render_ms=14.428 flush_ms=3.722 total_ms=29.356
SURFACE FRAME id=85 allocation_ms=0.021 memcpy_ms=10.843 image_ms=0.013 transaction_ms=0.078 render_ms=14.567 flush_ms=3.999 total_ms=29.535
SURFACE FRAME id=86 allocation_ms=0.022 memcpy_ms=11.172 image_ms=0.013 transaction_ms=0.077 render_ms=14.767 flush_ms=3.731 total_ms=29.794
SURFACE FRAME id=87 allocation_ms=0.025 memcpy_ms=11.027 image_ms=0.014 transaction_ms=0.076 render_ms=14.640 flush_ms=3.738 total_ms=29.533
SURFACE FRAME id=88 allocation_ms=0.023 memcpy_ms=11.154 image_ms=0.013 transaction_ms=0.078 render_ms=14.453 flush_ms=3.824 total_ms=29.558
SURFACE FRAME id=89 allocation_ms=0.021 memcpy_ms=11.440 image_ms=0.012 transaction_ms=0.078 render_ms=14.447 flush_ms=3.766 total_ms=29.777
SURFACE FRAME id=90 allocation_ms=0.025 memcpy_ms=11.291 image_ms=0.012 transaction_ms=0.077 render_ms=14.195 flush_ms=3.745 total_ms=29.357
SURFACE FRAME id=91 allocation_ms=0.022 memcpy_ms=11.132 image_ms=0.011 transaction_ms=0.076 render_ms=14.551 flush_ms=3.734 total_ms=29.539
